, where, what, value
0, driver, memory_footprint_bytes, 402702336.000000000000
1, driver, kernel_time, 0.003211928000
2, driver, total_time, 0.025117655000
3, driver, kernel_time 0, 0.000797094000
4, driver, kernel_time 1, 0.000805870000
5, driver, kernel_time 2, 0.000803417000
6, driver, kernel_time 3, 0.000805547000
7, GPU1.CommandProcessor, kernel_time, 0.003209572000
8, GPU1.CommandProcessor, kernel_time 0, 0.000797094000
9, GPU1.CommandProcessor, kernel_time 1, 0.000805870000
10, GPU1.CommandProcessor, kernel_time 2, 0.000803417000
11, GPU1.CommandProcessor, kernel_time 3, 0.000805547000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.008762165000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.007928726000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.007086509000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.006246734000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1030328.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1028060.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1029824.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1031840.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1031588.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1028312.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1028942.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1033100.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1029572.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1029320.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1033226.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1032470.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1029446.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1032974.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1032344.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1030454.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1030202.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1030832.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1031840.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1031084.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1031714.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1032974.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1032722.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1029698.000000000000
40, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1031966.000000000000
41, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1031714.000000000000
42, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1031462.000000000000
43, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1029698.000000000000
44, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1032596.000000000000
45, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1030076.000000000000
46, GPU1.chiplet_00.SA_07.CU_02, inst_count, 1031210.000000000000
47, GPU1.chiplet_00.SA_07.CU_03, inst_count, 1028564.000000000000
48, GPU1.chiplet_01.SA_00.CU_00, inst_count, 1031210.000000000000
49, GPU1.chiplet_01.SA_00.CU_01, inst_count, 1028816.000000000000
50, GPU1.chiplet_01.SA_00.CU_02, inst_count, 1029194.000000000000
51, GPU1.chiplet_01.SA_00.CU_03, inst_count, 1029950.000000000000
52, GPU1.chiplet_01.SA_01.CU_00, inst_count, 1030580.000000000000
53, GPU1.chiplet_01.SA_01.CU_01, inst_count, 1030958.000000000000
54, GPU1.chiplet_01.SA_01.CU_02, inst_count, 1030202.000000000000
55, GPU1.chiplet_01.SA_01.CU_03, inst_count, 1031336.000000000000
56, GPU1.chiplet_01.SA_02.CU_00, inst_count, 1028186.000000000000
57, GPU1.chiplet_01.SA_02.CU_01, inst_count, 1029068.000000000000
58, GPU1.chiplet_01.SA_02.CU_02, inst_count, 1032974.000000000000
59, GPU1.chiplet_01.SA_02.CU_03, inst_count, 1029572.000000000000
60, GPU1.chiplet_01.SA_03.CU_00, inst_count, 1031462.000000000000
61, GPU1.chiplet_01.SA_03.CU_01, inst_count, 1030076.000000000000
62, GPU1.chiplet_01.SA_03.CU_02, inst_count, 1030706.000000000000
